Id,Date,Year,Month,Country,Country_code,State_or_UT,State_Code,District,Dist_Code,Place,lat_new,lon_new,Source,Region,cluster_label
IND_187,"Monday, October 20, 2003",2003,10,India,IN,Odisha,OR,Puri,PRI,,19.81,85.8,EMD,East,2
IND_188,"Monday, October 20, 2003",2003,10,India,IN,Odisha,OR,Balangir,BLN,,20.7,83.48,EMD,East,2
IND_189,"Monday, October 20, 2003",2003,10,India,IN,Odisha,OR,Sonepur,SPR,,20.84,83.9,EMD,East,2
IND_190,"Monday, October 20, 2003",2003,10,India,IN,Odisha,OR,Kalahandi,KLH,,20.13,85.07,EMD,East,2
IND_191,"Monday, October 20, 2003",2003,10,India,IN,Odisha,OR,Rayagada,RYG,,19.17,83.42,EMD,East,2
IND_192,"Monday, October 20, 2003",2003,10,India,IN,Odisha,OR,Gajapati,GJP,,19.19,84.19,EMD,East,2
IND_193,"Monday, October 20, 2003",2003,10,India,IN,Odisha,OR,Bargarh,BRG,,21.35,83.63,EMD,East,2
IND_194,"Monday, October 20, 2003",2003,10,India,IN,Odisha,OR,Koraput,KPT,,18.81,82.71,EMD,East,0
IND_195,"Monday, October 20, 2003",2003,10,India,IN,Odisha,OR,Nayagarh,NYG,,20.12,85.11,EMD,East,2
IND_196,"Monday, October 20, 2003",2003,10,India,IN,Odisha,OR,Ganjam,GNM,,19.39,85.05,EMD,East,2
IND_197,"Monday, October 20, 2003",2003,10,India,IN,Odisha,OR,Angul,AGL,,20.85,85.13,EMD,East,2
IND_198,"Wednesday, April 14, 2004",2004,4,India,IN,Manipur,MN,Bishnupur,BSN,"Leimapokpam, Thiyam, Lourembam,",24.63,93.76,EMD,North East,1
IND_199,"Wednesday, April 14, 2004",2004,4,India,IN,Manipur,MN,Imphal West,IPW,"Na-Orem, Pukhrambam, Sanjenbam , Nambol Laitonjam villages",24.78,93.89,EMD,North East,1
IND_200,"Monday, October 18, 2004",2004,10,India,IN,Assam,AS,Goalpara,GLP,,26.17,90.62,EMD,North East,1
IND_201,"Friday, June 11, 2004",2004,6,India,IN,Kerala,KL,Wayanad,WYN,,11.75,75.84,EMD,South,0
IND_202,"Friday, June 11, 2004",2004,6,India,IN,Kerala,KL,Kozhikode,KZK,,11.26,75.78,EMD,South,0
IND_203,"Friday, June 11, 2004",2004,6,India,IN,Kerala,KL,Kannur,KNU,,11.87,75.37,EMD,South,0
